name	source	offset
G2C_SYNC_MAP_QUEUE_INFO	JX3ClientX64_exe_net_strings.txt	0x007CCED0
G2C_SYNC_MAP_QUEUE_INFO	JX3LogicEditOperation_net_strings.txt	0x00811E10
G2C_SYNC_NEWBIE_MAPS	JX3ClientX64_exe_net_strings.txt	0x007CCCF0
G2C_SYNC_NEWBIE_MAPS	JX3LogicEditOperation_net_strings.txt	0x00811C30
G2C_SYNC_ROLE_LIST	JX3ClientX64_exe_net_strings.txt	0x007CCC80
G2C_SYNC_ROLE_LIST	JX3LogicEditOperation_net_strings.txt	0x00811BC0
S2C_AI_AGENT_CHAT_RESPONSE	JX3ClientX64_exe_net_strings.txt	0x007C2420
S2C_AI_AGENT_CHAT_RESPONSE	JX3LogicEditOperation_net_strings.txt	0x00773500
S2C_COOLDOWN_OVER_DRAFT_NOTIFY	JX3ClientX64_exe_net_strings.txt	0x008206A0
S2C_COOLDOWN_OVER_DRAFT_NOTIFY	JX3LogicEditOperation_net_strings.txt	0x007B29F8
S2C_DELETE_SKILL_RECIPE	JX3ClientX64_exe_net_strings.txt	0x00820590
S2C_DELETE_SKILL_RECIPE	JX3LogicEditOperation_net_strings.txt	0x007B28E8
S2C_MESSAGE_NOTIFY	JX3ClientX64_exe_net_strings.txt	0x007BF880
S2C_MESSAGE_NOTIFY	JX3LogicEditOperation_net_strings.txt	0x00770A00
S2C_MODIFY_PLAYER_REMOTE_DATA	JX3ClientX64_exe_net_strings.txt	0x007C88C0
S2C_MODIFY_PLAYER_REMOTE_DATA	JX3LogicEditOperation_net_strings.txt	0x00779970
S2C_MODIFY_SCENE_REMOTE_DATA	JX3ClientX64_exe_net_strings.txt	0x007C8DB0
S2C_MODIFY_SCENE_REMOTE_DATA	JX3LogicEditOperation_net_strings.txt	0x00779E60
S2C_MOVE_EXTERIOR_RESPOND	JX3ClientX64_exe_net_strings.txt	0x007C5430
S2C_MOVE_EXTERIOR_RESPOND	JX3LogicEditOperation_net_strings.txt	0x007764F0
S2C_MOVE_HAIR_RESPOND	JX3ClientX64_exe_net_strings.txt	0x007C5850
S2C_MOVE_HAIR_RESPOND	JX3LogicEditOperation_net_strings.txt	0x00776910
S2C_NPC_LEAVE_FIGHT_NOTIFY	JX3ClientX64_exe_net_strings.txt	0x007C82B8
S2C_NPC_LEAVE_FIGHT_NOTIFY	JX3LogicEditOperation_net_strings.txt	0x00779368
S2C_PEEK_PLAYER_REMOTE_DATA	JX3ClientX64_exe_net_strings.txt	0x007C8928
S2C_PEEK_PLAYER_REMOTE_DATA	JX3LogicEditOperation_net_strings.txt	0x007799D8
S2C_POINT_CHAIN_SKILL_EFFECT	JX3ClientX64_exe_net_strings.txt	0x007C05D0
S2C_POINT_CHAIN_SKILL_EFFECT	JX3LogicEditOperation_net_strings.txt	0x007716F0
S2C_RESET_COOLDOWN	JX3ClientX64_exe_net_strings.txt	0x00820610
S2C_RESET_COOLDOWN	JX3LogicEditOperation_net_strings.txt	0x007B2968
S2C_ROAD_TRACK_FORCE_RESPOND	JX3ClientX64_exe_net_strings.txt	0x007C2570
S2C_ROAD_TRACK_FORCE_RESPOND	JX3ClientX64_exe_net_strings.txt	0x007C2570
S2C_ROAD_TRACK_FORCE_RESPOND	JX3LogicEditOperation_net_strings.txt	0x00773650
S2C_ROAD_TRACK_FORCE_RESPOND	JX3LogicEditOperation_net_strings.txt	0x00773650
S2C_SKILL_EFFECT_RESULT	JX3ClientX64_exe_net_strings.txt	0x007C0488
S2C_SKILL_EFFECT_RESULT	JX3ClientX64_exe_net_strings.txt	0x007C04C0
S2C_SKILL_EFFECT_RESULT	JX3ClientX64_exe_net_strings.txt	0x007C04C0
S2C_SKILL_EFFECT_RESULT	JX3LogicEditOperation_net_strings.txt	0x007715A8
S2C_SKILL_EFFECT_RESULT	JX3LogicEditOperation_net_strings.txt	0x007715E0
S2C_SKILL_EFFECT_RESULT	JX3LogicEditOperation_net_strings.txt	0x007715E0
S2C_SYNC_ACCOUNT_SHARED_PACKAGE_ITEM_DATA	JX3ClientX64_exe_net_strings.txt	0x007C7AD0
S2C_SYNC_ACCOUNT_SHARED_PACKAGE_ITEM_DATA	JX3ClientX64_exe_net_strings.txt	0x007C7AD0
S2C_SYNC_ACCOUNT_SHARED_PACKAGE_ITEM_DATA	JX3LogicEditOperation_net_strings.txt	0x00778B80
S2C_SYNC_ACCOUNT_SHARED_PACKAGE_ITEM_DATA	JX3LogicEditOperation_net_strings.txt	0x00778B80
S2C_SYNC_ACTIVE_SKILL_SKIN_INFO	JX3ClientX64_exe_net_strings.txt	0x007CA080
S2C_SYNC_ACTIVE_SKILL_SKIN_INFO	JX3LogicEditOperation_net_strings.txt	0x0077B130
S2C_SYNC_AI_AGENT_CHAT_RECORD_INFO	JX3ClientX64_exe_net_strings.txt	0x007CA6E8
S2C_SYNC_AI_AGENT_CHAT_RECORD_INFO	JX3ClientX64_exe_net_strings.txt	0x007CA720
S2C_SYNC_AI_AGENT_CHAT_RECORD_INFO	JX3ClientX64_exe_net_strings.txt	0x007CA720
S2C_SYNC_AI_AGENT_CHAT_RECORD_INFO	JX3LogicEditOperation_net_strings.txt	0x0077B7A0
S2C_SYNC_AI_AGENT_CHAT_RECORD_INFO	JX3LogicEditOperation_net_strings.txt	0x0077B7E0
S2C_SYNC_AI_AGENT_CHAT_RECORD_INFO	JX3LogicEditOperation_net_strings.txt	0x0077B7E0
S2C_SYNC_ALL_BOOK_STATE	JX3ClientX64_exe_net_strings.txt	0x007C2260
S2C_SYNC_ALL_BOOK_STATE	JX3LogicEditOperation_net_strings.txt	0x00773340
S2C_SYNC_ALL_FURNITURE	JX3ClientX64_exe_net_strings.txt	0x007C8990
S2C_SYNC_ALL_FURNITURE	JX3LogicEditOperation_net_strings.txt	0x00779A40
S2C_SYNC_ALL_GLOBAL_COUNTER	JX3ClientX64_exe_net_strings.txt	0x007C4B30
S2C_SYNC_ALL_GLOBAL_COUNTER	JX3ClientX64_exe_net_strings.txt	0x007C4B30
S2C_SYNC_ALL_GLOBAL_COUNTER	JX3LogicEditOperation_net_strings.txt	0x00775BF0
S2C_SYNC_ALL_GLOBAL_COUNTER	JX3LogicEditOperation_net_strings.txt	0x00775BF0
S2C_SYNC_ALL_HORSE_EQUIP_PRESET_DATA	JX3ClientX64_exe_net_strings.txt	0x007C7000
S2C_SYNC_ALL_HORSE_EQUIP_PRESET_DATA	JX3LogicEditOperation_net_strings.txt	0x007780B0
S2C_SYNC_ALL_PAINTBRUSH	JX3ClientX64_exe_net_strings.txt	0x007C8A60
S2C_SYNC_ALL_PAINTBRUSH	JX3LogicEditOperation_net_strings.txt	0x00779B10
S2C_SYNC_ALL_PENDANT_FURNITURE	JX3ClientX64_exe_net_strings.txt	0x007C89F8
S2C_SYNC_ALL_PENDANT_FURNITURE	JX3LogicEditOperation_net_strings.txt	0x00779AA8
S2C_SYNC_ALL_PLAYER_IDLE_ACTION	JX3ClientX64_exe_net_strings.txt	0x007C9EC0
S2C_SYNC_ALL_PLAYER_IDLE_ACTION	JX3LogicEditOperation_net_strings.txt	0x0077AF70
S2C_SYNC_ALL_PLAYER_REMOTE_DATA	JX3ClientX64_exe_net_strings.txt	0x007C87F0
S2C_SYNC_ALL_PLAYER_REMOTE_DATA	JX3LogicEditOperation_net_strings.txt	0x007798A0
S2C_SYNC_ALL_PRIVATE_HOME_SKIN	JX3ClientX64_exe_net_strings.txt	0x007C8E18
S2C_SYNC_ALL_PRIVATE_HOME_SKIN	JX3LogicEditOperation_net_strings.txt	0x00779EC8
S2C_SYNC_ALL_SCENE_REMOTE_DATA	JX3ClientX64_exe_net_strings.txt	0x007C8D48
S2C_SYNC_ALL_SCENE_REMOTE_DATA	JX3LogicEditOperation_net_strings.txt	0x00779DF8
S2C_SYNC_ALL_SHOW_CARD_DECORATION	JX3ClientX64_exe_net_strings.txt	0x007C9BD0
S2C_SYNC_ALL_SHOW_CARD_DECORATION	JX3LogicEditOperation_net_strings.txt	0x0077AC80
S2C_SYNC_ARENA_COMPETITIOR_CD_STATE	JX3ClientX64_exe_net_strings.txt	0x00820740
S2C_SYNC_ARENA_COMPETITIOR_CD_STATE	JX3LogicEditOperation_net_strings.txt	0x007B2A98
S2C_SYNC_ARENA_COMPETITIOR_LIST	JX3ClientX64_exe_net_strings.txt	0x008208B0
S2C_SYNC_ARENA_COMPETITIOR_LIST	JX3ClientX64_exe_net_strings.txt	0x008208B0
S2C_SYNC_ARENA_COMPETITIOR_LIST	JX3LogicEditOperation_net_strings.txt	0x007B2C10
S2C_SYNC_ARENA_COMPETITIOR_LIST	JX3LogicEditOperation_net_strings.txt	0x007B2C10
S2C_SYNC_BASE_INFO_FROM_DUNGEON_PLAYER_LIST	JX3ClientX64_exe_net_strings.txt	0x007CA938
S2C_SYNC_BASE_INFO_FROM_DUNGEON_PLAYER_LIST	JX3LogicEditOperation_net_strings.txt	0x0077B9F8
S2C_SYNC_BATTLEFIELD_COMPETITOR_BUFF_LIST	JX3ClientX64_exe_net_strings.txt	0x007C8020
S2C_SYNC_BATTLEFIELD_COMPETITOR_BUFF_LIST	JX3LogicEditOperation_net_strings.txt	0x007790D0
S2C_SYNC_BIDDING_INFO	JX3ClientX64_exe_net_strings.txt	0x007C1940
S2C_SYNC_BIDDING_INFO	JX3LogicEditOperation_net_strings.txt	0x00772A60
S2C_SYNC_BUFF_LIST	JX3ClientX64_exe_net_strings.txt	0x007C0640
S2C_SYNC_BUFF_LIST	JX3LogicEditOperation_net_strings.txt	0x00771760
S2C_SYNC_CAMP_INFO	JX3ClientX64_exe_net_strings.txt	0x007C2CC0
S2C_SYNC_CAMP_INFO	JX3LogicEditOperation_net_strings.txt	0x00773DA0
S2C_SYNC_CHAT_CHANNEL	JX3ClientX64_exe_net_strings.txt	0x007C1E98
S2C_SYNC_CHAT_CHANNEL	JX3ClientX64_exe_net_strings.txt	0x007C1E98
S2C_SYNC_CHAT_CHANNEL	JX3LogicEditOperation_net_strings.txt	0x00772FB8
S2C_SYNC_CHAT_CHANNEL	JX3LogicEditOperation_net_strings.txt	0x00772FB8
S2C_SYNC_COIN_SHOP_BOX_GOODS	JX3ClientX64_exe_net_strings.txt	0x007C40B0
S2C_SYNC_COIN_SHOP_BOX_GOODS	JX3LogicEditOperation_net_strings.txt	0x00775170
S2C_SYNC_COIN_SHOP_CART_INFO	JX3ClientX64_exe_net_strings.txt	0x007C75B0
S2C_SYNC_COIN_SHOP_CART_INFO	JX3LogicEditOperation_net_strings.txt	0x00778660
S2C_SYNC_COIN_SHOP_PRESET_INFO	JX3ClientX64_exe_net_strings.txt	0x007C7380
S2C_SYNC_COIN_SHOP_PRESET_INFO	JX3LogicEditOperation_net_strings.txt	0x00778430
S2C_SYNC_CUSTOM_TEXT	JX3ClientX64_exe_net_strings.txt	0x007CAA18
S2C_SYNC_CUSTOM_TEXT	JX3LogicEditOperation_net_strings.txt	0x0077BAD8
S2C_SYNC_ENTITY_GROUP	JX3ClientX64_exe_net_strings.txt	0x007C6340
S2C_SYNC_ENTITY_GROUP	JX3LogicEditOperation_net_strings.txt	0x00777400
S2C_SYNC_EQUIPPED_BODY_BONE	JX3ClientX64_exe_net_strings.txt	0x007C4550
S2C_SYNC_EQUIPPED_BODY_BONE	JX3LogicEditOperation_net_strings.txt	0x00775610
S2C_SYNC_EQUIPPED_EXTERIOR_CUSTOM_DYEING	JX3ClientX64_exe_net_strings.txt	0x007C4940
S2C_SYNC_EQUIPPED_EXTERIOR_CUSTOM_DYEING	JX3ClientX64_exe_net_strings.txt	0x007C4940
S2C_SYNC_EQUIPPED_EXTERIOR_CUSTOM_DYEING	JX3LogicEditOperation_net_strings.txt	0x00775A00
S2C_SYNC_EQUIPPED_EXTERIOR_CUSTOM_DYEING	JX3LogicEditOperation_net_strings.txt	0x00775A00
S2C_SYNC_EQUIPPED_HAIR_CUSTOM_DYEING	JX3ClientX64_exe_net_strings.txt	0x007C4700
S2C_SYNC_EQUIPPED_HAIR_CUSTOM_DYEING	JX3ClientX64_exe_net_strings.txt	0x007C4700
S2C_SYNC_EQUIPPED_HAIR_CUSTOM_DYEING	JX3LogicEditOperation_net_strings.txt	0x007757C0
