== DoodadClass.tab FULL
  ClassID	ClassName	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4
  0	错误类型		0		0		0		0
  1	箱子								
  2	矿石								
  3	草药								
  4	中原人型尸体	ClassDrop\Box\humen_craft_zhongyuan.tab	1						
  5	江南人型尸体	ClassDrop\Box\humen_craft_jiangnan.tab	1						
  6	西北人型尸体	ClassDrop\Box\humen_craft_xibei.tab	1						
  7	老虎庖丁术	ClassDrop\Box\paoding_animal_meat_1.tab	1	ClassDrop\Box\paoding_animal_meat_2.tab	1	ClassDrop\Box\paoding_tiger.tab	1		
  8	猪庖丁术	ClassDrop\Box\paoding_animal_meat_1.tab	1	ClassDrop\Box\paoding_animal_meat_2.tab	1	ClassDrop\Box\paoding_pig.tab	1		
  9	狼庖丁术	ClassDrop\Box\paoding_animal_meat_1.tab	1	ClassDrop\Box\paoding_animal_meat_2.tab	1	ClassDrop\Box\paoding_wolf.tab	1		
  10	熊庖丁术	ClassDrop\Box\paoding_animal_meat_1.tab	1	ClassDrop\Box\paoding_animal_meat_2.tab	1	ClassDrop\Box\paoding_bear.tab	1		
  11	龟庖丁术	ClassDrop\Box\paoding_animal_meat_1.tab	1	ClassDrop\Box\paoding_animal_meat_2.tab	1	ClassDrop\Box\paoding_tortoise.tab	1		
  12	鳄鱼庖丁术	ClassDrop\Box\paoding_animal_meat_1.tab	1	ClassDrop\Box\paoding_animal_meat_2.tab	1	ClassDrop\Box\paoding_crocodile.tab	1		
  13	貂庖丁术	ClassDrop\Box\paoding_animal_meat_1.tab	1	ClassDrop\Box\paoding_animal_meat_2.tab	1	ClassDrop\Box\paoding_mink.tab	1		
  14	神兽庖丁术	ClassDrop\Box\paoding_animal_meat_1.tab	1	ClassDrop\Box\paoding_animal_meat_2.tab	1	ClassDrop\Box\paoding_shenshou.tab	1		
  15	通用庖丁术	ClassDrop\Box\paoding_animal_meat_1.tab	1	ClassDrop\Box\paoding_animal_meat_2.tab	1				
  16	帮会庖丁术	ClassDrop\Box\paoding_animal_meat_1.tab	2	ClassDrop\Box\paoding_animal_meat_2.tab	3				
== DoodadTemplate.tab rows=11011 cols=51
HDR: ID | Name | MapName | Kind | Level | ClassID | CraftID | CanOperateEach | IsSelectable | RemoveDelay | ReviveDelay | OpenPrepareFrame | Drop1 | Count1 | Drop2 | Count2 | Drop3 | Count3 | Drop4 | Count4 | Drop5 | Count5 | Drop6 | Count6 | Drop7 | Count7 | Drop8 | Count8 | Drop9 | Count9 | Drop10 | Count10 | RepresentID | SprintRepresentID | MoneyMin | MoneyMax | MoneyDropRate | CanPick | BarText | Script | OverLootFrame | DynamicObstacle | ProgressID | IndependentDrop | IndependentDropCount | IndependentDropType | AreaBroadcast | IdentityVisiableID | ShowName | SceneFilter | DisableNavObstacle
  6	刀	新手村	3	1	1		0		2880	60	80																					6					1	拾取												
  7	枪	新手村	3	1	1		0		2880	60	80																					7					1	拾取												
  8	棍	新手村	3	1	1		0		2880	60	80																					8					1	拾取												
  9	布娃娃	新手村	3	1	1		0		2880	1	80																					9					1	拾取												
  10	草叉	新手村	3	1	1		0		2880	1	80																					10					1	拾取												
  12	麦穗	新手村	3	1	1		0		2880	60	80																					12					1	拾取												
  13	箭矢用木材	新手村	3	1	1		0		2880	60	80																					13					1	拾取												
  14	木材	新手村	3	1	1		0		2880	60	80																					14					1	拾取												
  15	干材堆	新手村	3	1	1		1		2880	1	80																					15					1	拾取												
  16	血衣	新手村	3	1	1		0		2880	1	80																					16					1	拾取												
  18	小箱子	新手村	3	1	1		0		2880	1	80																					18					1	打开												
  19	土堆	新手村	3	1	1		0		2880	1	80																					19					1	打开												
  21	粮草	新手村	3	1	1		0		2880	60	80																					21					1	拾取												
  36	茶菇	万花	3	1	1		0		0	0	0																					70					1	拾取												
  41	竹枝	万花	3	1	1		0		2880	10	80																					41					1	拾取												
  42	硝石	万花	3	1	1		0		2880	60	80																					42					1	拾取												
  43	木炭	万花	3	1	1		0		2880	60	80																					43					1	拾取												
  47	白轩之作	万花	8	1	1		0		2880	1	80																					47					1	拾取												
  51	猴儿酒	万花	3	1	1		0		2880	1	80																					51					1	拾取												
  58	上锁的木盒	万花	3	1	1		0		0	0	0																					58					1	打开												
  61	面袋	万花	3	1	1		0		2880	1	80																					61					1	拾取												
  62	刀	万花	3	1	1		0		2880	1	80																					62					0	拾取	scripts/Map/万花/Doodad/刀.lua											
  63	桃子	万花	3	1	1		0		2880	1	80																					63					0	拾取	scripts/Map/万花/Doodad/桃子.lua											
  64	木锨	万花	3	1	1		0		2880	1	80																					64					0	拾取	scripts/Map/万花/Doodad/木锨.lua											
  65	青鱼石	万花	3	1	1		0		2880	80	80																					65					1	拾取												
matched rows=1834
