skill_id	skill_name	belong_school
52	回春妙手	0
145	兰摧玉折_吞dot定身	2
190	兰摧玉折	2
191	防御加倍	12
208	罗汉金身段1	5
209	罗汉金身段2	5
210	罗汉金身段3	5
245	罗汉金身	5
258	舍身诀	5
273	内功增加防御	5
324	破苍穹_气场效果	3
333	碎星辰_气场效果	3
355	凭虚御风	3
359	破苍穹	3
362	碎星辰	3
425	天策-御奔突	1
442	天策-御	1
443	天策_技能事件_御_驱散御	1
550	鹊踏枝	4
603	天策_技能事件_御_增加仇恨(未启用)	1
605	骑御	0
614	天策_子技能_御_当关	1
634	NPC_BUFF_生存增强_外功防御力基础值_1	12
657	NPC_DEBUFF_生存减弱_外功防御力基础值_1	12
662	天策防御阵法释放	1
740	少林防御阵法施放	5
741	少林防御阵法BUFF	5
742	少林防御阵法第四重	5
743	少林防御阵法第五重	5
749	天策防御阵法BUFF	1
750	天策防御阵法第四重	1
752	天策防御阵法第五重	1
753	天策防御阵法第六重	1
845	无盐岛_小怪_防御增强	12
1014	天子峰_小怪_少林达摩院弟子_罗汉金身	12
1212	破苍穹_气场效果_子技能_紫霞	3
1402	子技能_碎星辰飘渺_暴击减威胁	3
1422	英雄天子峰_4号boss小怪_天策小怪_御	12
1426	英雄天子峰_4号boss小怪_万花小怪_兰摧玉折	12
1440	英雄天子峰_4号boss_道衍_罗汉金身	12
1537	元旦活动_温酒	13
1602	重御（阵角）	12
1673	道函_罗汉金身	12
1780	藏剑_快剑40级内功_梅隐香增加御劲值	6
1811	碎星辰·返	12
1812	碎星辰·返·人剑合一	12
1827	御劲壁垒	12
1844	太虚剑意_重置凭虚御风	16
1890	舍身诀_对怪	5
1891	舍身诀_对队友	5
1893	舍身诀_子技能失败后清自身CD	5
1945	子技能_治疗增加目标防御	0
1972	英雄剑冢_小怪_御火门徒_玉虹贯日	12
1973	英雄剑冢_小怪_御火门徒_九溪弥烟	12
1974	英雄剑冢_小怪_御火门徒_啸日	12
1975	英雄剑冢_小怪_御火门徒_夕照雷锋	12
