GROUP	ID	Name	DisplayName	Type	MaxCopyCount	MinPlayerCount	MaxPlayerCount	KeepTime	ReviveInSitu	RevieCycle	BanSkillMask	BattleRelationMask	CampType	FightList	NeedCampBuff	bCanTongWar	CanJoinBattleField	BanUseItemMask	CanJoinArena	IsArenaMap	NewCampFight	CanJoinTongBattlefield	InvalidBuffMask	BanChangeTalent	CanSprint	QueueForSwitchWhenFull	CampQueue	IsTongWarMap	IsBattlefield	OperationMask	IsTongLeagueMap	bCanPK	bCanDuel	ResourcePath	ScriptFile
ARENA_INSTANCE	127	天山碎冰谷	天山碎冰谷	2	2048	1	1024	2	0	0	8	2	4	0	0	0	0	1	0	1	0	0	8	0	0	1	0			7		0	0	data\source\maps\天山碎冰谷\天山碎冰谷.jsonmap	
ARENA_INSTANCE	128	乐山大佛窟	乐山大佛窟	2	2048	1	1024	2	0	0	8	2	4	0	0	0	0	1	0	1	0	0	8	0	0	1	0			7		0	0	data\source\maps\乐山大佛窟\乐山大佛窟.jsonmap	
ARENA_INSTANCE	129	华山之巅	华山之巅	2	2048	1	1024	2	0	0	8	2	4	0	0	0	0	1	0	1	0	0	8	0	0	1	0			7		0	0	data\source\maps\华山之巅\华山之巅.jsonmap	
ARENA_INSTANCE	137	大漠楼兰	大漠楼兰	2	2048	1	1024	2	0	0	8	2	4	1	0	0	0	1	0	1	0	0	8	1	0	1	0			7		0	0	data\source\maps\大漠楼兰\大漠楼兰.map	
ARENA_INSTANCE	238	青竹书院	青竹书院	2	2048	1	1024	2	0	0	8	2	4	0	0	0	0	1	0	1	0	0	8	0	0	1	0			7		0	0	data\source\maps\青竹书院\青竹书院.jsonmap	
ARENA_INSTANCE	277	拭剑台	拭剑台	2	2048	1	1024	2	0	0	8	2	4	0	0	0	0	1	0	1	0	0	8	0	0	1	0			7		0	0	data\source\maps\拭剑台\拭剑台.jsonmap	
ARENA_INSTANCE	362	墟海之眼	墟海之眼	2	2048	1	1024	2	0	0	8	2	4	0	0	0	0	1	0	1	0	0	8	0	0	1	0			7		0	0	data\source\maps\墟海之眼\墟海之眼.jsonmap	
ARENA_INSTANCE	529	藏剑武库	藏剑武库	2	2048	1	1024	2	0	0	8	2	4	0	0	0	0	1	0	1	0	0	8	0	0	1	0			7		0	0	data\source\maps\藏剑武库\藏剑武库.jsonmap	
ARENA_INSTANCE	530	墟海之眼_演武场	墟海之眼·演武场	2	2048	1	1024	2	0	0	8	2	4	0	0	0	0	1	0	1	0	0	8	0	0	1	0			7		0	0	data\source\maps\墟海之眼_演武场\墟海之眼_演武场.jsonmap	
ARENA_INSTANCE	624	沃石火狱	沃石火狱	2	2048	1	1024	2	0	0	8	2	4	0	0	0	0	1	0	1	0	0	8	0	0	1	0			7		0	0	data\source\maps\沃石火狱\沃石火狱.jsonmap	
