# DecayType membership VERIFIED from Buff.tab (data-driven; replaces hand-picked lists
# in proof/pvp/decay_and_controls.tsv / decay_types.tsv, which contain IDs that do not
# actually carry the listed DecayType).
# Columns: DecayType | Name | DecayFrame | ImmunityFrame | Seconds | BuffRows | VerifiedExamples(<=12)
0	击晕	160	160	10.0	140	533:天霜粉 ; 567:五蕴皆空1 ; 567:智拳印段1 ; 568:五蕴皆空2 ; 568:智拳印段2 ; 569:五蕴皆空3 ; 569:智拳印段3 ; 570:狮子吼段1 ; 571:狮子吼段2 ; 572:狮子吼段3 ; 583:少林被击眩晕 ; 719:天策-破坚阵-击晕
1	冰环	160	160	10.0	51	558:三才化生 ; 679:影痕 ; 706:云裳心经_止水_冰环 ; 2289:五方行尽 ; 2492:毒蛊触发_百足迷心 ; 2492:毒蛊触发_百足枯残 ; 2492:毒蛊触发_百足夺命 ; 2547:五毒_蛊虫献祭_蜘蛛 ; 2555:五毒_蛊虫献祭_蜘蛛(定身) ; 2555:五毒_蛊虫献祭_蜘蛛(定身)_缠心强化 ; 3143:南诏弓兵_裂阳箭_锁足 ; 3216:唐门_钻心刺骨
2	定身	160	160	10.0	102	554:大道无术 ; 675:芙蓉并蒂-定身 ; 685:傍花随柳-定身 ; 686:帝骖龙翔 ; 998:太阴指 ; 1007:天地三才阵_3号boss_商仲永_纸上谈兵-定身 ; 1016:迷魂香 ; 1080:英雄三才阵_3号BOSS_朴宗资_射骨箭(定身) ; 1229:人剑合一_昏迷（初始） ; 1229:人剑合一_昏迷（浑沦） ; 1229:人剑合一_昏迷（实腹+浑沦） ; 1229:人剑合一_昏迷（无尤）
3	七星拱瑞	320	320	20.0	27	556:七星拱瑞 ; 852:七星拱瑞_player ; 2832:镇派_七星拱瑞_npc1 ; 2833:镇派_七星拱瑞_player1 ; 2834:镇派_七星拱瑞_npc2 ; 2835:镇派_七星拱瑞_player2 ; 9959:七星拱瑞玩家_新效果 ; 12478:七星拱瑞Npc_唯二
4	雷霆震怒	320	320	20.0	5	682:雷霆震怒
5	沉默	160	160	10.0	62	445:少林-沉默 ; 534:止息 ; 557:八卦洞玄 ; 582:少林被击沉默 ; 585:厥阴指_打断后沉默 ; 690:剑心通明 ; 712:兰摧玉折_吞DOT定身 ; 726:剑飞惊天_沉默 ; 1244:战宝迦兰_1号BOSS_李锦瀚_摧城枪·撕喉 ; 2182:八卦洞玄打断沉默 ; 2807:五毒_蛊_沉默内功 ; 3227:唐门_梅花针
6	眠蛊	160	160	10.0	6	2522:五毒_万蛊真解_眠蛊(对Player)
7	迷神钉	160	160	10.0	7	3224:唐门_迷神钉 ; 3224:唐门_迷神钉_前3秒不被打醒 ; 3224:唐门_迷神钉_后3秒无递减 ; 4871:明教_无明魂锁 ; 4871:明教_无明魂锁_不可选中 ; 9756:无名魂锁_玩家减半 ; 9757:无名魂锁_50%以上气血不会打醒
8	短暂锁足	96	96	6.0	12	749:紫霞功_定身 ; 1931:吐故纳新_锁足 ; 1936:绛唇珠袖_定身 ; 2799:七秀_袖手_鹊踏枝闪避后效果 ; 4020:明教_幽月轮_第三下锁足 ; 5650:纯阳_90级奇穴_万剑归宗2秒 ; 5694:万花_太阴指锁足 ; 5764:五毒_百足_锁足 ; 18426:连极阵锁足 ; 20809:长生AOE锁足 ; 30485:飞鸾动羽控制 ; 51858:绝境_丐帮锁足
9	恐惧	160	160	10.0	1	27038:万灵山庄_恐惧

# Hand-picked example audit (from make_decay_tsv.py EXAMPLES): ID -> actual DecayTypes
0	424:冲锋眩晕	actual=(empty)	MISMATCH
0	453:九转归一_眩晕	actual=(empty)	MISMATCH
0	14928:九转碰撞障碍眩晕	actual=0	OK
0	2755:七星北斗_眩晕	actual=0	OK
0	5876:少林_反弹眩晕	actual=0	OK
0	533:天霜粉	actual=0	OK
0	464:冲锋、沉重打击眩晕	actual=(empty)	MISMATCH
1	558:三才化生	actual=1	OK
1	706:云裳心经_止水_冰环	actual=1	OK
1	2289:五方行尽	actual=1	OK
1	3466:唐门_暗藏杀机_锁足	actual=1	OK
1	679:影痕	actual=1	OK
2	554:大道无术	actual=2	OK
2	675:芙蓉并蒂-定身	actual=2	OK
2	685:傍花随柳-定身	actual=2	OK
2	686:帝骖龙翔	actual=2	OK
2	749:紫霞功_定身	actual=8	MISMATCH
2	13052:普通大道无术减化劲	actual=2	OK
3	556:七星拱瑞	actual=3	OK
3	852:七星拱瑞_player	actual=3	OK
3	2832:镇派_七星拱瑞_npc1	actual=3	OK
3	2833:镇派_七星拱瑞_player1	actual=3	OK
4	682:雷霆震怒	actual=4	OK
5	445:少林-沉默	actual=5	OK
5	534:止息	actual=5	OK
5	557:八卦洞玄	actual=5	OK
5	726:剑飞惊天_沉默	actual=5	OK
5	50379:傍花随柳实际沉默	actual=5	OK
5	4053:明教_怖畏暗刑_沉默	actual=5	OK
6	2522:五毒_万蛊真解_眠蛊(对Player)	actual=6	OK
6	2523:五毒_万蛊真解_眠蛊(对NPC)	actual=0	MISMATCH
7	3224:唐门_迷神钉	actual=7	OK
7	4871:明教_无明魂锁	actual=(empty)/7	OK
7	9756:无名魂锁_玩家减半	actual=(empty)/7	OK
8	749:紫霞功_定身	actual=8	OK
8	1931:吐故纳新_锁足	actual=8	OK
8	1936:绛唇珠袖_定身	actual=8	OK
8	5694:万花_太阴指锁足	actual=8	OK
8	51858:绝境_丐帮锁足	actual=8	OK
8	2799:七秀_袖手_鹊踏枝闪避后效果	actual=8	OK
9	27038:万灵山庄_恐惧	actual=9	OK
9	20346:百战异闻录通用恐惧	actual=-1	MISMATCH
